"","name","start","nation","product","dist","class","genre","director","people","screen","play"
"137","동창생",41584,"한국","더램프(주),(주)황금물고기","(주)쇼박스","15세이상관람가","액션,드라마","박홍수",922441,660,33312
"138","두근두근 내 인생",41885,"한국","영화사 집","씨제이이앤엠(주)","12세이상관람가","드라마","이재용",1621127,629,40115
"139","드라큘라: 전설의 시작",41920,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","15세이상관람가","판타지,액션","개리 쇼어",1321636,477,46476
"140","드래곤 길들이기 2",41843,"미국","","씨제이이앤엠(주)","전체관람가","애니메이션,액션,어드벤처","딘 데블로이스",2995906,829,51748
"141","드래곤 블레이드",42075,"중국","","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","액션,어드벤처","이인항",56234,264,4764
"142","드레스메이커",42411,"호주","","(주)리틀빅픽쳐스","15세이상관람가","드라마","조셀린 무어하우스",55330,176,3038
"143","또 하나의 약속",41676,"한국","(주)또하나의가족 제작위원회,(주)에이트볼픽쳐스","(주)오에이엘","12세이상관람가","드라마","김태윤",492389,192,14757
"144","라스트 위치 헌터",42368,"미국","","TCO(주)더콘텐츠온","15세이상관람가","액션,어드벤처,판타지","브렉 에이즈너",121831,278,4295
"145","라스트베가스",41767,"미국","","(주)나이너스엔터테인먼트","15세이상관람가","코미디","존 터틀타웁",173647,349,10737
"146","러덜리스",42194,"미국","","그린나래미디어(주)","12세이상관람가","코미디,드라마","윌리엄 H. 머시",75776,117,3434
"147","러브 라이브! 더 스쿨 아이돌 무비",42250,"일본","","(주)박수엔터테인먼트","전체관람가","애니메이션","쿄고쿠 타카히코",82280,66,2094
"148","러브, 로지",41983,"영국","","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,멜로/로맨스","크리스티안 디터",292430,379,11941
"149","러시 : 더 라이벌",41556,"미국","","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","액션,드라마","론 하워드",123717,270,8113
"150","런 올 나이트",42082,"미국","","워너브러더스 코리아(주)","청소년관람불가","액션,스릴러","자움 콜렛 세라",289534,411,15865
"151","런던 해즈 폴른",42439,"미국","","메가박스(주)플러스엠","15세이상관람가","액션,범죄,스릴러","바박 나자피",731532,525,37557
"152","레고 무비",41676,"미국","","워너브러더스 코리아(주)","전체관람가","애니메이션,코미디,액션,가족","필 로드,크리스 밀러",232808,317,6538
"153","레드: 더 레전드",41473,"미국","","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","액션,코미디,범죄","딘 패리소트",132501,318,4630
"154","레드카펫",41935,"한국","씨네주(유),(주)누리픽쳐스","(주)프레인글로벌","15세이상관람가","멜로/로맨스,코미디","박범수",316655,385,17694
"155","레버넌트: 죽음에서 돌아온 자",42383,"미국","","이십세기폭스코리아(주)","15세이상관람가","어드벤처,드라마","알레한드로 곤잘레스 이냐리투",2000836,967,54830
"156","레전드",42348,"프랑스","","(주)이수C&E","청소년관람불가","액션,범죄,드라마","브라이언 헬겔랜드",180082,449,9994
"157","레전드 오브 타잔",42550,"미국","","워너브러더스 코리아(주)","12세이상관람가","액션,어드벤처","데이빗 예이츠",858402,593,28021
"158","레터스 투 갓",42425,"미국","","(주)모멘텀엔터테인먼트","전체관람가","가족,드라마","데이빗 닉슨",50900,221,2113
"159","로덴시아: 마법왕국의 전설",41549,"페루","","(주)영화사 빅","전체관람가","애니메이션,어드벤처","데이비드 비스바노",97992,627,2997
"160","로보캅",41683,"미국","","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","12세이상관람가","액션,SF","호세 파딜라",979509,608,29686
"161","로봇, 소리",42396,"한국","(주)영화사 좋은날,(주)디씨지플러스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","이호재",472135,305,25472
"162","론 서바이버",41731,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","15세이상관람가","액션,드라마,스릴러","피터 버그",182852,374,11511
"163","롤러코스터",41564,"한국","(주)판타지오픽쳐스","씨제이이앤엠(주)","15세이상관람가","코미디","하정우",269998,641,14725
"164","루시",41885,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","청소년관람불가","액션","뤽 베송",1972045,333,44576
"165","룸",42432,"아일랜드","","(주)영화사 빅","15세이상관람가","드라마","레니 에이브러햄슨",83667,275,6890
"166","리딕",41606,"미국","","(주)영화사 빅","15세이상관람가","SF,액션","데이빗 토히",132059,57,7468
"167","리스본행 야간열차",41795,"독일","","(주)나이너스엔터테인먼트","15세이상관람가","미스터리,멜로/로맨스,스릴러","빌 어거스트",56711,598,1778
"168","리오 2",41760,"미국","","이십세기폭스코리아(주)","전체관람가","애니메이션,코미디,어드벤처","카를로스 살다나",761339,615,14780
